Structure_Name,Structure_Full_Name,Drive,
Pallet,,,
PCB,Printed circuit board,,
3-pin Component,,,
5-pin Component,,,
Conveyor,,,
Conveyor PLC,Conveyor Programmable Logic Controller,,
RFID Scanner,Radio Frequency Identification Scanner,,
Position Sensor,,DC24V,
Servo Motor,,AC220V,
Lifter,,Air,
Solenoid Lifter Valve,,,
P-POP Machine,Precise Picked-up Object Positioning Machine,,
PPOP PLC,Precise Picked-up Object Positioning Programmable Logic Controller,,
Line Camera,,DC24V,
Line Laser,,DC24V,
IPC,Industrial Personal Computer,AC220V,
4-axis Robot Arm,,,
Gripper,,Air,
Solenoid Gripper valve,,,
Rotator,,,
Robot Arm Controller,,,
Teach pendant,,,
Emergency button,,,
Jog wheel ,,,
Touchscreen,,,
Safety button,,,
Conveyor module control panel,,,
On/Off switch ,,,
Reset button ,,,
Robot table,,,
Run/Stop program switch ,,,
Manual/Auto Mode switch ,,,
PLC On/ PLC Off switch ,Programmable Logic Controller On/ Off switch ,,
On/Off switch ,,,
Reset button ,,,
E-Box,,,
Air Regulator,,,
Servo Motor Driver,,DC24V,
